iterationName,context_id,gameid,time,trialNum,repNum,targetImg,msg,timeFromRoundStart,rt,agent1stick,agent2stick,quizAttempts,button_pressed,response,stimulus_type,stimulus_contestant,trial-index
sample3,,3234-a186de08-5714-4eb4-88a8-75e2b5224bf1,,,,,,,1542,0.3,0.8,,,,,,
sample3,,3234-a186de08-5714-4eb4-88a8-75e2b5224bf1,,,,,,,9761,0.3,0.8,,0,,,,
sample3,,3234-a186de08-5714-4eb4-88a8-75e2b5224bf1,,,,,,,2547,0.3,0.8,,0,,,,
sample3,,3234-a186de08-5714-4eb4-88a8-75e2b5224bf1,,,,,,,2759,0.3,0.8,,0,,,,
sample3,,3234-a186de08-5714-4eb4-88a8-75e2b5224bf1,,,,,,,3056,0.3,0.8,,0,,,,
sample3,,3234-a186de08-5714-4eb4-88a8-75e2b5224bf1,,,,,,,1410,0.3,0.8,,0,,,,
sample3,,3234-a186de08-5714-4eb4-88a8-75e2b5224bf1,,,,,,,4905,0.3,0.8,,0,,,,
sample3,,3234-a186de08-5714-4eb4-88a8-75e2b5224bf1,,,,,,,4752,0.3,0.8,,,65,practice,,
sample3,,3234-a186de08-5714-4eb4-88a8-75e2b5224bf1,,,,,,,2029,0.3,0.8,,0,,,,
sample3,,3234-a186de08-5714-4eb4-88a8-75e2b5224bf1,,,,,,,16026,0.3,0.8,,,,,,
sample3,,3234-a186de08-5714-4eb4-88a8-75e2b5224bf1,,,,,,,1928,0.3,0.8,,0,,,,
sample3,,3234-a186de08-5714-4eb4-88a8-75e2b5224bf1,,,,,,,5701,0.3,0.8,,4,,speakerTrial,first,
sample3,,3234-a186de08-5714-4eb4-88a8-75e2b5224bf1,,,,,,,2918,0.3,0.8,,0,,speakerTrial,second,
sample3,,3234-a186de08-5714-4eb4-88a8-75e2b5224bf1,,,,,,,44932,0.3,0.8,,2,,speakerTrial,third,
sample3,,3234-a186de08-5714-4eb4-88a8-75e2b5224bf1,,,,,,,1036,0.3,0.8,,0,,speakerTrial,fourth,
sample3,,3234-a186de08-5714-4eb4-88a8-75e2b5224bf1,,,,,,,1721,0.3,0.8,,0,,,,
sample3,,3234-a186de08-5714-4eb4-88a8-75e2b5224bf1,,,,,,,,0.3,0.8,,,,,,
sample3,,3234-a186de08-5714-4eb4-88a8-75e2b5224bf1,,,,,,,3893,0.3,0.8,,,61,isLong,first,
sample3,,3234-a186de08-5714-4eb4-88a8-75e2b5224bf1,,,,,,,,0.3,0.8,,,,,,
sample3,,1138-3a0abde9-3ef4-430f-8fd9-f86c920418ca,,,,,,,8712.835000013001,0.1,0.8,,,,,,
sample3,,4899-558d5ed7-b11f-4b30-a2c8-71bb0fcd4d1e,,,,,,,1872.494999995979,0.2,0.8,,,,,,
sample3,,4899-558d5ed7-b11f-4b30-a2c8-71bb0fcd4d1e,,,,,,,3241.2249999979394,0.2,0.8,,0,,,,
sample3,,1138-3a0abde9-3ef4-430f-8fd9-f86c920418ca,,,,,,,125189.16499998886,0.1,0.8,,0,,,,
sample3,,4899-558d5ed7-b11f-4b30-a2c8-71bb0fcd4d1e,,,,,,,2807.2050000046147,0.2,0.8,,0,,,,
sample3,,1138-3a0abde9-3ef4-430f-8fd9-f86c920418ca,,,,,,,5820.64500002889,0.1,0.8,,0,,,,
sample3,,4899-558d5ed7-b11f-4b30-a2c8-71bb0fcd4d1e,,,,,,,5112.330000003567,0.2,0.8,,0,,,,
sample3,,4899-558d5ed7-b11f-4b30-a2c8-71bb0fcd4d1e,,,,,,,280.12499999749707,0.2,0.8,,0,,,,
sample3,,1138-3a0abde9-3ef4-430f-8fd9-f86c920418ca,,,,,,,8666.314999980386,0.1,0.8,,0,,,,
sample3,,4899-558d5ed7-b11f-4b30-a2c8-71bb0fcd4d1e,,,,,,,19968.55499999947,0.2,0.8,,0,,,,
sample3,,1138-3a0abde9-3ef4-430f-8fd9-f86c920418ca,,,,,,,37581.98999997694,0.1,0.8,,0,,,,
sample3,,4899-558d5ed7-b11f-4b30-a2c8-71bb0fcd4d1e,,,,,,,33952.91500000167,0.2,0.8,,0,,,,
sample3,,1138-3a0abde9-3ef4-430f-8fd9-f86c920418ca,,,,,,,39115.76499999501,0.1,0.8,,0,,,,
sample3,,1138-3a0abde9-3ef4-430f-8fd9-f86c920418ca,,,,,,,25943.72000003932,0.1,0.8,,0,,,,
sample3,,1138-3a0abde9-3ef4-430f-8fd9-f86c920418ca,,,,,,,17267.539999971632,0.1,0.8,,,50,practice,,
sample3,,4899-558d5ed7-b11f-4b30-a2c8-71bb0fcd4d1e,,,,,,,75867.07000000024,0.2,0.8,,,50,practice,,
sample3,,1138-3a0abde9-3ef4-430f-8fd9-f86c920418ca,,,,,,,4002.0650000078604,0.1,0.8,,0,,,,
sample3,,4899-558d5ed7-b11f-4b30-a2c8-71bb0fcd4d1e,,,,,,,1749.6250000040163,0.2,0.8,,0,,,,
sample3,,4899-558d5ed7-b11f-4b30-a2c8-71bb0fcd4d1e,,,,,,,32264.34000000154,0.2,0.8,,,,,,
sample3,,1138-3a0abde9-3ef4-430f-8fd9-f86c920418ca,,,,,,,45818.95499996608,0.1,0.8,,,,,,
sample3,,1138-3a0abde9-3ef4-430f-8fd9-f86c920418ca,,,,,,,15048.000000009779,0.1,0.8,,0,,,,
sample3,,1138-3a0abde9-3ef4-430f-8fd9-f86c920418ca,,,,,,,20882.265000022016,0.1,0.8,,4,,speakerTrial,first,
sample3,,1138-3a0abde9-3ef4-430f-8fd9-f86c920418ca,,,,,,,41976.199999975506,0.1,0.8,,0,,speakerTrial,second,
sample3,,1138-3a0abde9-3ef4-430f-8fd9-f86c920418ca,,,,,,,38181.42500001704,0.1,0.8,,0,,speakerTrial,third,
sample3,,1138-3a0abde9-3ef4-430f-8fd9-f86c920418ca,,,,,,,14008.79500003066,0.1,0.8,,0,,speakerTrial,fourth,
sample3,,1138-3a0abde9-3ef4-430f-8fd9-f86c920418ca,,,,,,,4160.704999987502,0.1,0.8,,0,,,,
sample3,,1138-3a0abde9-3ef4-430f-8fd9-f86c920418ca,,,,,,,,0.1,0.8,,,,,,
sample3,,1138-3a0abde9-3ef4-430f-8fd9-f86c920418ca,,,,,,,46542.55999997258,0.1,0.8,,,24,isLong,first,
sample3,,1138-3a0abde9-3ef4-430f-8fd9-f86c920418ca,,,,,,,,0.1,0.8,,,,,,
sample3,,1138-3a0abde9-3ef4-430f-8fd9-f86c920418ca,,,,,,,53987.62999998871,0.1,0.8,,,36,isLong,second,
sample3,,1138-3a0abde9-3ef4-430f-8fd9-f86c920418ca,,,,,,,8925.729999959003,0.1,0.8,,0,,2afc,,
sample3,,1138-3a0abde9-3ef4-430f-8fd9-f86c920418ca,,,,,,,4535.720000043511,0.1,0.8,,0,,,,
sample3,,8521-4db9eaa1-2aae-48db-a5bc-a34a23aab45c,,,,,,,595.3799999988405,0.3,0.6,,,,,,
sample3,,1138-3a0abde9-3ef4-430f-8fd9-f86c920418ca,,,,,,,53872.36000003759,0.1,0.8,,,39,meanSlider,,
sample3,,1138-3a0abde9-3ef4-430f-8fd9-f86c920418ca,,,,,,,38765.205000003334,0.1,0.8,,3,,genModel,third,
sample3,,1138-3a0abde9-3ef4-430f-8fd9-f86c920418ca,,,,,,,18872.369999997318,0.1,0.8,,4,,genModel,fourth,
sample3,,1138-3a0abde9-3ef4-430f-8fd9-f86c920418ca,,,,,,,4314.505000016652,0.1,0.8,,1,,genModel,fifth,
sample3,,1138-3a0abde9-3ef4-430f-8fd9-f86c920418ca,,,,,,,30077.385000011418,0.1,0.8,,,100,bias,first,
sample3,,1138-3a0abde9-3ef4-430f-8fd9-f86c920418ca,,,,,,,8338.654999970458,0.1,0.8,,,0,bias,second,
sample3,,1138-3a0abde9-3ef4-430f-8fd9-f86c920418ca,,,,,,,12297.589999972843,0.1,0.8,,,,exit_survey,,
sample3,,1138-3a0abde9-3ef4-430f-8fd9-f86c920418ca,,,,,,,2123.714999994263,0.1,0.8,,,,,,
sample3,,7322-3a435ae9-a9ee-475b-849e-2b81fbb0790c,,,,,,,5866.975000000821,0.3,0.8,,,,,,
sample3,,7322-3a435ae9-a9ee-475b-849e-2b81fbb0790c,,,,,,,6542.8199999987555,0.3,0.8,,0,,,,
sample3,,2077-c2d750e2-bd1a-4abf-bbb9-2ec31f2e343e,,,,,,,2566.9250000064494,0.4,0.6,,,,,,
sample3,,7322-3a435ae9-a9ee-475b-849e-2b81fbb0790c,,,,,,,4416.5150000008,0.3,0.8,,0,,,,
sample3,,2077-c2d750e2-bd1a-4abf-bbb9-2ec31f2e343e,,,,,,,2773.6949999962235,0.4,0.6,,0,,,,
sample3,,2077-c2d750e2-bd1a-4abf-bbb9-2ec31f2e343e,,,,,,,3252.169999992475,0.4,0.6,,0,,,,
sample3,,7322-3a435ae9-a9ee-475b-849e-2b81fbb0790c,,,,,,,4538.039999999455,0.3,0.8,,0,,,,
sample3,,2077-c2d750e2-bd1a-4abf-bbb9-2ec31f2e343e,,,,,,,9837.690000000293,0.4,0.6,,0,,,,
sample3,,7322-3a435ae9-a9ee-475b-849e-2b81fbb0790c,,,,,,,13290.844999999536,0.3,0.8,,0,,,,
sample3,,7322-3a435ae9-a9ee-475b-849e-2b81fbb0790c,,,,,,,10559.699999997974,0.3,0.8,,0,,,,
sample3,,2077-c2d750e2-bd1a-4abf-bbb9-2ec31f2e343e,,,,,,,16356.205000003683,0.4,0.6,,0,,,,
sample3,,7322-3a435ae9-a9ee-475b-849e-2b81fbb0790c,,,,,,,8974.000000001979,0.3,0.8,,0,,,,
sample3,,2077-c2d750e2-bd1a-4abf-bbb9-2ec31f2e343e,,,,,,,12256.674999996903,0.4,0.6,,0,,,,
sample3,,7322-3a435ae9-a9ee-475b-849e-2b81fbb0790c,,,,,,,10109.879999999976,0.3,0.8,,,50,practice,,
sample3,,7322-3a435ae9-a9ee-475b-849e-2b81fbb0790c,,,,,,,2079.249999998865,0.3,0.8,,0,,,,
sample3,,2077-c2d750e2-bd1a-4abf-bbb9-2ec31f2e343e,,,,,,,13122.93499999214,0.4,0.6,,0,,,,
sample3,,2077-c2d750e2-bd1a-4abf-bbb9-2ec31f2e343e,,,,,,,14831.245000008494,0.4,0.6,,,50,practice,,
sample3,,7322-3a435ae9-a9ee-475b-849e-2b81fbb0790c,,,,,,,21295.945000001666,0.3,0.8,,,,,,
sample3,,2077-c2d750e2-bd1a-4abf-bbb9-2ec31f2e343e,,,,,,,2626.3699999981327,0.4,0.6,,0,,,,
sample3,,7322-3a435ae9-a9ee-475b-849e-2b81fbb0790c,,,,,,,3990.4549999992014,0.3,0.8,,0,,,,
sample3,,7322-3a435ae9-a9ee-475b-849e-2b81fbb0790c,,,,,,,21274.030000000494,0.3,0.8,,4,,speakerTrial,first,
sample3,,2077-c2d750e2-bd1a-4abf-bbb9-2ec31f2e343e,,,,,,,25717.304999998305,0.4,0.6,,,,,,
